TransactionID,Date,AccountHolder,TransactionCode,TransactionDescription,Amount,SourceSortCode,SourceAccountNumber,DestinationSortCode,DestinationAccountNumber,Beneficiary,IBAN,SWIFT,SuspicionType,SuspicionNotes
SUS000035,2023-11-22,George Cartwright,FPO,Faster Payment Outgoing,20689.07,18-21-85,28316820,77-28-78,81900368,Timothy Archer,,,Money Laundering,Large international transactions with no clear source
SUS000036,2024-01-14,Mr Frederick Dixon,CHQ,Cheque,85.32,13-29-29,05197015,38-92-95,47965126,Natasha Wells,,,Round-Tripping,Funds sent back and forth between same entities
SUS000037,2025-01-06,Christopher Woodward-Morgan,ATM,ATM Transaction,161.95,35-46-12,43580421,81-25-39,07632520,Mr Maurice Gibson,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000038,2025-04-15,Robertson Inc,FPO,Faster Payment Outgoing,17367.93,27-78-46,73709978,11-50-57,15655645,Mr Christian Collins,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000039,2023-04-12,Catherine Austin,CSH,Cash transaction,982.45,27-67-57,03931635,22-76-82,60957631,"James, Lynch and Nixon",,,Structuring,Many small deposits just below reporting threshold
SUS000040,2024-07-06,Dr Beverley Phillips,POS,Point of Sale,978.42,31-45-77,54880129,21-18-81,41327302,Joel Clarke,,,Structuring,Many small deposits just below reporting threshold
SUS000041,2023-04-30,Allen Ltd,ATM,ATM Transaction,256.36,37-54-90,16294778,79-77-15,93145005,Sandra Willis,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000042,2024-06-30,Ann Hamilton-Burrows,ATM,ATM Transaction,463.13,64-63-51,36209329,20-81-28,49020064,Stevenson PLC,,,Round-Tripping,Funds sent back and forth between same entities
SUS000043,2025-02-16,William Archer,REF,Refund,529.72,68-59-73,61061603,31-96-30,88072299,Nigel Brown-Powell,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000044,2025-03-15,Lee LLC,POS,Point of Sale,959.17,70-46-14,85429623,63-72-92,93974228,Mrs Sharon Hill,,,Structuring,Many small deposits just below reporting threshold
SUS000045,2023-01-04,Irene Brown,BGC,Bank Giro Credit,955.08,34-46-71,22989704,44-10-11,13308328,"Wilson, Davies and Lloyd",,,Structuring,Many small deposits just below reporting threshold
SUS000046,2023-02-18,Frank Scott,CHQ,Cheque,15964.86,48-81-12,51433424,65-62-99,81509604,Butler-Jennings,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000047,2023-06-01,Barry Ellis,REF,Refund,930.11,78-67-49,37641015,15-35-72,16439311,Luke Adams,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000048,2025-01-03,"Singh, Watts and Thomas",CSH,Cash transaction,995.28,10-49-36,69581087,66-99-50,07766793,Lynda Sheppard,,,Structuring,Many small deposits just below reporting threshold
SUS000049,2025-04-09,Cooper LLC,FPO,Faster Payment Outgoing,1081.55,28-26-30,11484405,92-59-99,62636957,Joanne Smith-Rose,,,Round-Tripping,Funds sent back and forth between same entities
SUS000050,2024-01-21,Clarke LLC,POS,Point of Sale,993.65,51-64-70,39153400,69-82-13,78582652,Bishop-Bennett,,,Structuring,Many small deposits just below reporting threshold
SUS000051,2024-04-02,Mr Gerald Adams,CHQ,Cheque,1349.61,36-43-96,18746514,89-74-34,39325761,Bruce Lowe,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000052,2024-04-02,Ms Carole Williams,FPO,Faster Payment Outgoing,10776.54,64-79-21,25955329,66-58-72,81126959,King Group,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000053,2023-08-10,Louis Cox,FPO,Faster Payment Outgoing,3823.21,20-63-11,87581958,59-51-99,26173089,Young PLC,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000054,2023-05-10,Miss Lynne Potter,SEPA,SEPA Credit Transfer,14289.92,68-85-41,51252279,21-72-25,04520685,"Lewis, Stephenson and Kaur",DE98257807241822200673,XMVMGBDYUZR,Money Laundering,Large international transactions with no clear source
SUS000055,2024-01-10,Michelle Hale,REF,Refund,537.83,56-42-53,13696380,29-23-88,39608446,Hannah Haynes,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000056,2024-04-15,Dr Guy Lynch,CHQ,Cheque,20042.33,41-43-28,87129065,34-85-31,34263475,Ryan Jones,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000057,2024-06-05,Francis Green,TFR,Transfer,2973.4,33-15-46,51539029,99-24-30,98781925,Mrs Chloe Brennan,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000058,2023-06-10,Roy Thompson,CHQ,Cheque,1601.05,76-97-94,43945696,77-68-50,56363330,Patel-Dodd,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000059,2023-12-22,Arnold-Clarke,ATM,ATM Transaction,382.63,88-56-20,70925396,35-57-73,02969078,Lauren Robinson,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000060,2024-10-19,Leslie Scott,FPO,Faster Payment Outgoing,17231.74,66-69-23,00312720,10-43-16,99047063,Wilson-Cox,,,Money Laundering,Large international transactions with no clear source
SUS000061,2023-04-21,Brookes Group,POS,Point of Sale,978.68,57-90-96,36373831,21-12-98,29390466,Miss Ashleigh Bird,,,Structuring,Many small deposits just below reporting threshold
SUS000062,2024-03-11,Ben Sheppard,CHQ,Cheque,705.01,64-68-45,50152554,27-32-45,20661072,"Davis, Whitehouse and Rees",,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000063,2024-10-04,Nicholas Davies,MT103,SWIFT Credit Transfer,19218.57,53-17-49,68584273,40-25-79,49043783,Wright-Smith,DE24135719667177544212,RTXJGBXTIVX,Money Laundering,Large international transactions with no clear source
SUS000064,2024-08-20,Mohamed Jones,CSH,Cash transaction,969.76,32-93-83,15422515,44-82-22,51113008,Abigail Dixon,,,Structuring,Many small deposits just below reporting threshold
SUS000065,2025-04-12,Eileen Fisher,CHQ,Cheque,8866.68,10-65-22,84893351,11-81-89,19754455,Amelia Brown,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000066,2024-03-25,Patricia Shaw,POS,Point of Sale,970.81,10-91-99,54831753,72-14-42,57270381,Mr Douglas Ellis,,,Structuring,Many small deposits just below reporting threshold
SUS000067,2023-07-23,Singh-King,CSH,Cash transaction,964.35,27-19-49,03470620,94-88-61,93816564,Dorothy Stokes,,,Structuring,Many small deposits just below reporting threshold
SUS000068,2025-02-04,Elaine Todd-Page,FPO,Faster Payment Outgoing,11610.1,52-50-70,26183545,55-27-92,92828283,Jonathan Holmes,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000069,2023-08-08,Mr Duncan Hart,FPO,Faster Payment Outgoing,4774.04,30-50-45,60116653,63-11-20,75712899,Mr Robert Webb,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000070,2023-01-03,Charlotte Rees,MT103,SWIFT Credit Transfer,2975.38,52-80-91,39859861,11-21-33,57468879,Miss Jasmine Watts,DE39351880439610665419,SBXZGB0XA6K,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000071,2024-06-08,Dr Martin Williams,CHQ,Cheque,12458.31,20-93-94,05680820,61-68-73,10442679,Alexander Fletcher,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000072,2024-12-24,Miss Jemma Price,BGC,Bank Giro Credit,976.0,40-57-46,93543974,72-35-36,80906736,Lee Watson,,,Structuring,Many small deposits just below reporting threshold
SUS000073,2023-11-05,Kimberley Barber,ATM,ATM Transaction,415.86,24-32-60,83842501,39-79-66,23015437,Ahmed Inc,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000074,2023-03-21,Elaine Barker-Lee,POS,Point of Sale,974.36,61-66-38,17929187,57-91-86,17224440,Diane Turner,,,Structuring,Many small deposits just below reporting threshold
SUS000075,2024-10-01,Brown-Field,SEPA,SEPA Credit Transfer,8262.68,92-67-43,82573151,84-32-90,26538257,Mr Marcus Jones,DE90130803601252674091,STHFGBLBZV1,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000076,2023-12-13,John LLC,FPO,Faster Payment Outgoing,2081.65,37-92-95,69308197,28-50-34,27226114,Austin-Edwards,,,Round-Tripping,Funds sent back and forth between same entities
SUS000077,2023-05-17,Miss Sharon Baker,ATM,ATM Transaction,147.1,67-68-13,12512360,58-77-52,90952444,Warner Group,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000078,2025-02-08,Charles Elliott,POS,Point of Sale,984.3,25-58-44,60140428,11-15-82,02099630,Karl Lowe,,,Structuring,Many small deposits just below reporting threshold
SUS000079,2023-08-23,Mitchell Green,ATM,ATM Transaction,269.84,56-73-40,24598730,51-52-35,58695522,Jeffrey Stone,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000080,2024-05-05,Graeme Gould,REF,Refund,916.81,42-84-20,38476086,11-51-87,22717355,"Rose, Harrison and Wright",,,Account Takeover,Multiple transactions from different IPs/devices
SUS000081,2023-08-14,Daniel Cross,ATM,ATM Transaction,293.91,49-30-84,00872172,74-10-13,60879685,Damian Rice,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000082,2024-12-24,"Smith, Brown and Hughes",CSH,Cash transaction,978.57,10-35-66,69868643,93-83-79,40774388,Debra Cooper,,,Structuring,Many small deposits just below reporting threshold
SUS000083,2023-12-03,"Stevenson, Andrews and Glover",CHQ,Cheque,20173.01,81-98-76,26415877,79-78-93,20895738,Judith Turner,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000084,2023-07-23,Claire Jackson-Carr,CHQ,Cheque,11806.6,63-91-48,39274858,41-30-51,27655860,Hazel Marshall-Briggs,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000085,2024-05-04,Rowe-Brown,ATM,ATM Transaction,381.92,80-83-98,23283383,41-78-56,49584288,James Harris-Clark,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000086,2023-04-13,Brown PLC,CHQ,Cheque,22007.74,37-24-12,23085925,25-59-15,03840614,Sandra Thomson-Armstrong,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000087,2024-11-02,Smith Group,FPO,Faster Payment Outgoing,4685.88,74-54-60,55072024,23-95-75,57398536,"Murphy, Williams and Williams",,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000088,2024-05-07,Clarke-Hale,TFR,Transfer,3356.83,47-71-79,23022327,46-32-37,09938264,Dr Natalie Duffy,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000089,2025-03-29,Karl Green,REF,Refund,365.79,82-29-29,41122295,61-31-21,13293514,Tyler-Shah,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000090,2023-09-14,Ms Naomi Murphy,REF,Refund,565.4,70-39-30,32539182,69-88-79,12116092,Dr Tom Robinson,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000091,2023-05-02,Mr Josh Palmer,ATM,ATM Transaction,61.6,33-21-77,67589232,38-27-41,73155837,Brown-Hughes,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000092,2024-05-19,Miss Stacey Briggs,REF,Refund,443.82,13-23-28,68333469,96-38-26,20757454,Mr Michael Young,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000093,2025-04-10,Dr Clifford Gibson,FPO,Faster Payment Outgoing,1191.52,71-57-67,68133249,36-71-86,37245982,Denise Taylor-Jones,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000094,2025-04-29,Turner Ltd,FPO,Faster Payment Outgoing,8594.08,17-65-28,43137672,72-26-29,59510742,Mr Graham Howells,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000095,2023-03-03,Stuart Connor-McKenzie,REF,Refund,551.38,67-43-64,53506835,61-81-28,94614057,Carly Newton,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000096,2024-03-23,Roger Barker,CSH,Cash transaction,967.66,60-80-95,49360553,34-89-88,20410882,Cook-Roberts,,,Structuring,Many small deposits just below reporting threshold
SUS000097,2023-01-20,"Andrews, Shaw and Roberts",REF,Refund,372.59,85-16-75,14882510,25-77-40,76618696,Donna Thompson-Iqbal,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000098,2023-06-06,Angela Lee,CHQ,Cheque,9313.84,27-18-51,49125950,84-27-78,37444626,Jodie Smith,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000099,2023-06-20,Colin Potts,SEPA,SEPA Credit Transfer,13516.22,77-55-21,15504131,26-75-35,59260612,Warren-Storey,DE82225469314320746252,VSQMGBGG3OX,Money Laundering,Large international transactions with no clear source
SUS000100,2024-08-25,Ford and Sons,FPO,Faster Payment Outgoing,1939.33,45-54-31,05993407,84-68-99,35814774,Joyce Davis,,,Round-Tripping,Funds sent back and forth between same entities
SUS000101,2023-03-07,Terry Barber,FPO,Faster Payment Outgoing,3933.28,96-94-61,73385819,33-65-13,88648472,Ross Adams,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000102,2024-01-26,Miss Jessica Carroll,CHQ,Cheque,23841.56,17-18-39,47944948,65-28-11,23337733,"Bowen, Gardner and Stephenson",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000103,2023-10-17,Dr Kenneth Woods,CHQ,Cheque,20140.8,19-82-91,85159598,88-29-99,25215227,Barnes-Hussain,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000104,2023-07-12,Dr Josephine Smith,BGC,Bank Giro Credit,967.17,52-44-10,42078555,36-93-41,25389830,"Simpson, Chandler and Phillips",,,Structuring,Many small deposits just below reporting threshold
SUS000105,2025-03-18,"Baldwin, Hancock and Graham",POS,Point of Sale,965.98,41-28-28,28401979,70-72-90,10852059,Liam Ashton-Talbot,,,Structuring,Many small deposits just below reporting threshold
SUS000106,2023-11-24,Birch Ltd,MT103,SWIFT Credit Transfer,17622.69,27-43-21,35609201,67-65-29,02735887,Mrs Tracey Townsend,DE25186296324684131122,DLXEGB9YCWA,Money Laundering,Large international transactions with no clear source
SUS000107,2024-02-14,Mr Samuel Smith,CHQ,Cheque,22196.42,16-42-10,90598622,75-79-79,20377028,"Stephens, Farmer and White",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000108,2024-03-21,Preston-Jones,CHQ,Cheque,23041.83,82-14-55,33311260,30-39-16,76686669,Nelson-Humphries,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000109,2024-05-14,Lindsey Ellis,ATM,ATM Transaction,298.53,39-17-93,99180839,58-55-88,51793084,Mr Dean Turner,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000110,2024-05-28,Bennett and Sons,REF,Refund,548.58,14-16-45,28385107,90-14-32,66028837,Taylor and Sons,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000111,2024-03-30,Dean LLC,POS,Point of Sale,991.22,28-73-98,97836313,44-25-54,12218126,Dr Allan Clayton,,,Structuring,Many small deposits just below reporting threshold
SUS000112,2023-03-25,Carl Turner,CHQ,Cheque,18093.95,35-47-31,40299009,50-31-75,15448430,Leonard Thompson,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000113,2023-07-03,Benjamin Grant-Brown,REF,Refund,78.92,86-45-32,62480564,40-57-38,90060985,Jasmine Akhtar,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000114,2024-07-19,Kate Allan,FPO,Faster Payment Outgoing,24696.94,26-40-71,25078919,27-14-22,53389462,Griffiths-Wade,,,Money Laundering,Large international transactions with no clear source
SUS000115,2024-11-04,Miss Wendy Read,REF,Refund,723.68,43-12-34,83223508,89-88-60,22304107,Miss Andrea White,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000116,2023-09-18,Louise Brookes-Moore,REF,Refund,435.48,56-95-12,27640647,52-88-69,68357863,Bruce Warren,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000117,2024-10-11,Dr Daniel Davies,TFR,Transfer,621.84,25-83-62,67408785,16-13-72,96418051,Dr Denis Parker,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000118,2023-09-21,Alice Bennett-Gallagher,REF,Refund,660.68,87-22-97,83235032,58-63-80,76891126,Diane Burrows,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000119,2024-10-24,Mr Toby Cross,CHQ,Cheque,11689.17,96-22-60,75133567,39-65-35,09757787,Gillian Morris,,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000120,2024-09-02,Katie McLean-Lambert,REF,Refund,627.17,25-13-69,92806014,97-18-50,44140333,"Bishop, Sutton and Baker",,,Fake Refunds,Frequent large refunds without matching purchases
SUS000121,2023-03-12,Mark Hobbs-Marshall,TFR,Transfer,2578.8,21-30-63,99706176,81-63-93,59786914,"Poole, Thomson and Gray",,,Round-Tripping,Funds sent back and forth between same entities
SUS000122,2023-03-20,Harrison-Collins,ATM,ATM Transaction,452.96,53-19-42,00253048,31-55-41,67695743,Miss Annette Williams,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000123,2024-08-02,"Brown, Evans and Burns",ATM,ATM Transaction,274.46,68-43-40,49145387,42-59-28,78244977,Clive Pearson,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000124,2024-07-29,Davies and Sons,FPO,Faster Payment Outgoing,1492.83,67-71-11,77228246,64-20-36,78976266,Gail Hancock-Yates,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000125,2024-02-19,Kathleen Willis,CHQ,Cheque,3408.71,68-72-18,18115534,93-31-84,98161792,McDonald-Tomlinson,,,Round-Tripping,Funds sent back and forth between same entities
SUS000126,2024-07-07,Harriet Hewitt,ATM,ATM Transaction,159.47,96-97-72,38751004,83-85-47,61618139,Charlene James,,,Account Takeover,Multiple transactions from different IPs/devices
SUS000127,2024-02-19,Mr James Hill,BGC,Bank Giro Credit,992.38,87-49-93,76121252,79-54-84,23134599,Dr Kate Riley,,,Structuring,Many small deposits just below reporting threshold
SUS000128,2023-05-31,Patrick Harris,TFR,Transfer,1349.45,16-94-36,24278331,19-91-39,54455743,Mrs Linda Miller,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000129,2023-10-04,"Thornton, Atkinson and Birch",FPO,Faster Payment Outgoing,13169.21,12-37-86,96624049,39-58-78,71879631,Jason Lewis,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000130,2024-06-25,"Todd, Parkinson and Williams",REF,Refund,312.17,94-42-87,28262325,81-16-96,04410225,Hamilton LLC,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000131,2023-12-16,"Thompson, Baker and Evans",FPO,Faster Payment Outgoing,4196.12,19-34-25,22394829,64-77-43,34633914,Carol Brown,,,SME Bust-Out,Rapid overdraft build-up then closure
SUS000132,2024-11-22,Gerald Taylor,REF,Refund,814.87,30-99-61,23682901,81-71-30,27853861,Mr Andrew Williams,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000133,2023-01-23,Zoe Fuller-Taylor,CHQ,Cheque,23941.98,78-53-80,23458581,61-56-40,79733619,"Jones, Ali and Mills",,,Cheque Fraud,High-value cheque with unusual beneficiary
SUS000134,2023-12-11,Barbara Walker-Rice,REF,Refund,256.16,83-78-93,25405869,25-85-74,59681659,Yvonne Harris-Holland,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000135,2024-08-16,Jackson Ltd,FPO,Faster Payment Outgoing,16879.54,68-85-27,65065813,82-62-44,03383669,Marilyn Glover-Powell,,,APP Fraud,High-value Faster Payments to new beneficiaries
SUS000136,2025-03-06,Carly Thornton,TFR,Transfer,683.32,17-67-48,47005686,72-89-30,05706389,Callum Edwards,,,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000137,2025-02-08,Harris Inc,REF,Refund,366.41,60-91-47,99826012,85-33-76,34560160,Mr Glenn Stone,,,Fake Refunds,Frequent large refunds without matching purchases
SUS000138,2025-03-15,Edwards Group,ATM,ATM Transaction,170.37,97-67-62,79204219,90-17-98,50766413,Dr Hayley Lynch,,,ATM Card Fraud,High-frequency ATM withdrawals in different locations
SUS000139,2023-03-12,Brenda Bradley,MT103,SWIFT Credit Transfer,1032.68,74-98-26,19040811,38-91-77,36614001,Dr Antony Summers,DE60320391725320582382,CMANGB914MD,Layering,Rapid transfers between accounts with similar names or small amounts
SUS000140,2023-09-22,Dr Shaun Howe,POS,Point of Sale,964.85,35-91-52,04521323,93-51-37,34972461,Gary Roberts,,,Structuring,Many small deposits just below reporting threshold
SUS000141,2023-03-15,Charlene Johnson,BGC,Bank Giro Credit,993.39,31-83-66,86658297,18-49-22,74366154,Molly Kelly,,,Structuring,Many small deposits just below reporting threshold
SUS000142,2023-07-12,Bryan Phillips,REF,Refund,801.42,65-91-68,77102676,70-94-27,48764294,Beverley Gibbs-Butler,,,Fake Refunds,Frequent large refunds without matching purchases
